,time,dist,jdif_Mg2,jdif_H,jdif_Cl,jact_Mg2,jact_H,jact_Cl,jmig_Mg2,jmig_H,jmig_Cl,jtot_Mg2,jtot_H,jtot_Cl
1492,43200,0.0505,1.5138900000000068e-08,1.1270949999999988e-08,8.941399999999978e-08,-6.447119437434393e-10,,-3.5350209848908887e-10,8.625162790907128e-09,3.8723951481830425e-09,-2.559063838447957e-08,2.3119350847163757e-08,,6.346985951703112e-08
1493,43200,0.0515,1.6991099999999893e-08,1.0786550000000043e-08,9.991200000000025e-08,-7.071034717528976e-10,,-3.9180242671487195e-10,9.934177159584728e-09,4.502569911012233e-09,-2.9483118925416305e-08,2.6218173687831724e-08,,7.003707864786907e-08
1494,43200,0.0525,1.8855900000000008e-08,1.0232950000000028e-08,1.1040999999999989e-07,-7.713626139055311e-10,,-4.253145841602553e-10,1.1234347952216583e-08,5.168322310633569e-09,-3.335869064545471e-08,2.931888533831106e-08,,7.662599477038493e-08
1495,43200,0.0535,2.0657700000000062e-08,9.627449999999966e-09,1.2072699999999994e-07,-8.274916717262872e-10,,-4.535668675791815e-10,1.2489800327644185e-08,5.8670938524113504e-09,-3.711180057054437e-08,3.232000865591796e-08,,8.316163256187638e-08
1496,43200,0.0545,2.2371299999999952e-08,8.970050000000028e-09,1.305010000000001e-07,-8.767787058285153e-10,,-4.848989857858823e-10,1.366165989085678e-08,6.596133980392016e-09,-4.063007531421656e-08,3.5156181185028215e-08,,8.938602569999765e-08
1497,43200,0.0555,2.393370000000005e-08,8.278049999999996e-09,1.3918899999999994e-07,-9.131935219506132e-10,,-5.011332928208605e-10,1.4716553499991504e-08,7.3552464571779585e-09,-4.3820728487367894e-08,3.7737059978040944e-08,,9.486713821981117e-08
1498,43200,0.0565,2.5300799999999912e-08,7.534149999999972e-09,1.4697199999999987e-07,-9.385590731074887e-10,,-5.190279403611508e-10,1.5611347400011592e-08,8.139142440077764e-09,-4.6555301795834215e-08,3.9973588326904014e-08,,9.98976702638045e-08
1499,43200,0.0575,2.6422200000000057e-08,6.747000000000025e-09,1.53307e-07,-9.503694782998637e-10,,-5.224496637586046e-10,1.632037431337791e-08,8.949474623949713e-09,-4.876043893523e-08,4.17922048350781e-08,,1.040241114010114e-07
1500,43200,0.0585,2.7266399999999993e-08,5.933899999999992e-09,1.578319999999999e-07,-9.470343902414316e-10,,-5.232454371639542e-10,1.68146962369956e-08,9.78349794515899e-09,-5.035700720955844e-08,4.313406184675416e-08,,1.0695174735327751e-07
1501,43200,0.0595,2.7808199999999974e-08,5.086199999999984e-09,1.6090900000000037e-07,-9.296240716355598e-10,,-5.114124166823264e-10,1.707423602840921e-08,1.0639732148479853e-08,-5.128043169071625e-08,4.395281195677362e-08,,1.091171558926018e-07
1502,43200,0.0605,2.8016100000000003e-08,4.195249999999994e-09,1.6199499999999983e-07,-8.964550420553641e-10,,-4.947025191820537e-10,1.7094168924760077e-08,1.1521179792788867e-08,-5.151825681038663e-08,4.421381388270472e-08,,1.0998204067043115e-07
1503,43200,0.0615,2.7902699999999995e-08,3.312950000000012e-09,1.6090899999999995e-07,-8.528851611521839e-10,,-4.737194964983823e-10,1.685737607567714e-08,1.2415733260070944e-08,-5.102825945300747e-08,4.3907190914524954e-08,,1.0940702105049409e-07
1504,43200,0.0625,2.7449099999999995e-08,2.3873999999999866e-09,1.5823020000000007e-07,-7.982765361417902e-10,,-4.4193224304887203e-10,1.6379596167645038e-08,1.332637716671512e-08,-4.9845803287014807e-08,4.3030419631503243e-08,,1.079424644699364e-07
1505,43200,0.0635,2.6686800000000005e-08,1.4532000000000127e-09,1.5366899999999994e-07,-7.343221281245582e-10,,-4.0864173919426776e-10,1.567665108303423e-08,1.424910759867895e-08,-4.801842324350595e-08,4.1629128954909677e-08,,1.0524193501729971e-07
1506,43200,0.0645,2.5641000000000008e-08,5.276499999999875e-10,1.4744259999999996e-07,-6.6320857970845e-10,,-3.7263097683854336e-10,1.4774219122339994e-08,1.5179427086545952e-08,-4.562029529841251e-08,3.975201054263155e-08,,1.0144967372474892e-07
1507,43200,0.0655,2.4349500000000012e-08,-3.9789999999997776e-10,1.3982250000000009e-07,-5.899393123163375e-10,,-3.3354637884714536e-10,1.3693379519472352e-08,1.609867718953921e-08,-4.270751772934904e-08,3.745294020715603e-08,,9.678143589180392e-08
1508,43200,0.0665,2.2850099999999998e-08,-1.3061499999999858e-09,1.310078e-07,-5.138732184038134e-10,,-2.9321060323471026e-10,1.2476718243414216e-08,1.699955487007396e-08,-3.9401101713247196e-08,3.48129450250104e-08,,9.131348768351808e-08
1509,43200,0.0675,2.1186899999999998e-08,-2.1452000000000447e-09,1.2130619999999995e-07,-4.4072967660267985e-10,,-2.54440347183372e-10,1.1149905165341412e-08,1.7839460040037622e-08,-3.5764174712775477e-08,3.189607548873873e-08,,8.52875849400411e-08
