        time	        dist	           H	         Mg2	          Cl	      gammaH	    gammaMg2	     gammaCl	   potential	     current	
           0	  7.7500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.8500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.9500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.0500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.1500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.2500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.3500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.4500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.5500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.6500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.7500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.8500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.9500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.0500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.1500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.2500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.3500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.4500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.5500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.6500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.7500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.8500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.9500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0050e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0150e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0250e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0350e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0450e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0550e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0650e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0750e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0850e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.0950e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1050e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1150e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1250e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1350e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
