days,current,gold,I3source,I3target,Isource,Itarget,pHsource,pHtarget
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,47.86342975613616,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,44.0,0.0,4.9,1.9
35.56250000000001,40.0,2.366,6.061804054427812,0.0,29.275453374136845,35.95574318327613,3.0,5.4
35.56250000000001,40.0,2.366,6.061804054427812,0.0,29.275453374136845,0.0,3.0,5.4
35.56250000000001,40.0,2.366,6.061804054427812,0.0,46.66198511698118,35.95574318327613,3.0,5.4
